genre,title,author,average_rating,publication_year,link
children,charlottes web,E.B. White,4.21,1952,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
children,harry potter and the philosophers stone harry potter 1,J.K. Rowling,4.47,1997,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone
children,the little prince,Antoine de Saint-Exupéry,4.33,1943,https://www.goodreads.com/book/show/157993.The_Little_Prince
children,the giving tree,Shel Silverstein,4.38,1964,https://www.goodreads.com/book/show/370493.The_Giving_Tree
children,where the wild things are,Maurice Sendak,4.25,1963,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
children,matilda,Roald Dahl,4.33,1988,https://www.goodreads.com/book/show/39988.Matilda
children,charlie and the chocolate factory charlie bucket 1,Roald Dahl,4.17,1964,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
children,green eggs and ham,Dr. Seuss,4.31,1960,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
children,the lion the witch and the wardrobe chronicles of narnia 1,C.S. Lewis,4.24,1950,https://www.goodreads.com/book/show/132080146-the-lion-the-witch-and-the-wardrobe
children,harry potter and the chamber of secrets harry potter 2,J.K. Rowling,4.43,1998,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
children,the secret garden,Frances Hodgson Burnett,4.17,1911,https://www.goodreads.com/book/show/2998.The_Secret_Garden
children,harry potter and the prisoner of azkaban harry potter 3,J.K. Rowling,4.58,1999,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
children,the cat in the hat cat in the hat 1,Dr. Seuss,4.19,1957,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
children,where the sidewalk ends,Shel Silverstein,4.35,1974,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
children,harry potter and the goblet of fire harry potter 4,J.K. Rowling,4.57,2000,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
children,the very hungry caterpillar,Eric Carle,4.34,1969,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
children,winniethepooh winniethepooh 1,A.A. Milne,4.38,1926,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
children,harry potter and the order of the phoenix harry potter 5,J.K. Rowling,4.5,2003,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
children,harry potter and the halfblood prince harry potter 6,J.K. Rowling,4.58,2005,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
children,harry potter and the deathly hallows harry potter 7,J.K. Rowling,4.62,2007,https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows
children,james and the giant peach,Roald Dahl,4.04,1961,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
children,a wrinkle in time time quintet 1,Madeleine L'Engle,3.97,1962,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
children,the wonderful wizard of oz oz 1,L. Frank Baum,4.0,1900,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
children,oh the places youll go,Dr. Seuss,4.37,1990,https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_
children,goodnight moon,Margaret Wise Brown,4.32,1947,https://www.goodreads.com/book/show/32929.Goodnight_Moon
children,how the grinch stole christmas,Dr. Seuss,4.38,1957,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_
children,anne of green gables anne of green gables 1,L.M. Montgomery,4.33,1908,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
children,the bfg,Roald Dahl,4.23,1982,https://www.goodreads.com/book/show/6319.The_BFG
children,the witches,Roald Dahl,4.18,1983,https://www.goodreads.com/book/show/6327.The_Witches
children,alices adventures in wonderland through the lookingglass,Lewis Carroll,4.06,1871,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
children,the velveteen rabbit,Margery Williams Bianco,4.31,1922,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
children,the bad beginning a series of unfortunate events 1,Lemony Snicket,4.02,1999,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
children,peter pan,J.M. Barrie,4.03,1911,https://www.goodreads.com/book/show/34268.Peter_Pan
children,the magicians nephew chronicles of narnia 6,C.S. Lewis,4.05,1955,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
children,pippi longstocking pippi langstrump 1,Astrid Lindgren,4.15,1945,https://www.goodreads.com/book/show/19302.Pippi_Longstocking
children,the lorax,Dr. Seuss,4.35,1971,https://www.goodreads.com/book/show/7784.The_Lorax
children,coraline,Neil Gaiman,4.13,2002,https://www.goodreads.com/book/show/17061.Coraline
children,the wind in the willows,Kenneth Grahame,4.02,1908,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
children,the tale of peter rabbit world of beatrix potter 1,Beatrix Potter,4.23,1902,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit
children,prince caspian chronicles of narnia 2,C.S. Lewis,3.98,1951,https://www.goodreads.com/book/show/121749.Prince_Caspian
children,one fish two fish red fish blue fish,Dr. Seuss,4.18,1960,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish
children,the lightning thief percy jackson and the olympians 1,Rick Riordan,4.31,2005,https://www.goodreads.com/book/show/123675190-the-lightning-thief
children,the horse and his boy chronicles of narnia 5,C.S. Lewis,3.91,1954,https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
children,bridge to terabithia,Katherine Paterson,4.06,1977,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
children,a little princess,Frances Hodgson Burnett,4.23,1905,https://www.goodreads.com/book/show/3008.A_Little_Princess
children,the voyage of the dawn treader chronicles of narnia 3,C.S. Lewis,4.09,1952,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
children,little house in the big woods little house 1,Laura Ingalls Wilder,4.21,1932,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
children,if you give a mouse a cookie if you give,Laura Joffe Numeroff,4.29,1985,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie
children,the phantom tollbooth,Norton Juster,4.2,1961,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
children,a light in the attic,Shel Silverstein,4.36,1981,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
fantasy,the hobbit or there and back again,J.R.R. Tolkien,4.3,1937,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
fantasy,a game of thrones a song of ice and fire 1,George R.R. Martin,4.45,1996,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
fantasy,the fellowship of the ring the lord of the rings 1,J.R.R. Tolkien,4.4,1954,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
fantasy,a court of thorns and roses a court of thorns and roses 1,Sarah J. Maas,4.16,2015,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
fantasy,fourth wing the empyrean 1,Rebecca Yarros,4.57,2023,https://www.goodreads.com/book/show/61431922-fourth-wing
fantasy,throne of glass throne of glass 1,Sarah J. Maas,4.18,2012,https://www.goodreads.com/book/show/76703559-throne-of-glass
fantasy,mistborn the final empire mistborn 1,Brandon Sanderson,4.49,2006,https://www.goodreads.com/book/show/68428.Mistborn
fantasy,six of crows six of crows 1,Leigh Bardugo,4.46,2015,https://www.goodreads.com/book/show/23437156-six-of-crows
fantasy,a court of mist and fury a court of thorns and roses 2,Sarah J. Maas,4.64,2016,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
fantasy,the two towers the lord of the rings 2,J.R.R. Tolkien,4.5,1954,https://www.goodreads.com/book/show/61215372-the-two-towers
fantasy,the name of the wind the kingkiller chronicle 1,Patrick Rothfuss,4.52,2007,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
fantasy,a clash of kings a song of ice and fire 2,George R.R. Martin,4.42,1998,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
fantasy,the return of the king the lord of the rings 3,J.R.R. Tolkien,4.58,1955,https://www.goodreads.com/book/show/61215384-the-return-of-the-king
fantasy,the cruel prince the folk of the air 1,Holly Black,4.01,2018,https://www.goodreads.com/book/show/26032825-the-cruel-prince
fantasy,shadow and bone shadow and bone 1,Leigh Bardugo,3.92,2012,https://www.goodreads.com/book/show/37834723-shadow-and-bone
fantasy,a court of wings and ruin a court of thorns and roses 3,Sarah J. Maas,4.46,2017,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin
fantasy,a storm of swords a song of ice and fire 3,George R.R. Martin,4.55,2000,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
fantasy,a feast for crows a song of ice and fire 4,George R.R. Martin,4.17,2005,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
fantasy,eragon the inheritance cycle 1,Christopher Paolini,3.96,2002,https://www.goodreads.com/book/show/113436.Eragon
fantasy,the golden compass his dark materials 1,Philip Pullman,4.03,1995,https://www.goodreads.com/book/show/119322.The_Golden_Compass
fantasy,a dance with dragons a song of ice and fire 5,George R.R. Martin,4.34,2011,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
fantasy,crown of midnight throne of glass 2,Sarah J. Maas,4.36,2013,https://www.goodreads.com/book/show/76705490-crown-of-midnight
fantasy,the night circus,Erin Morgenstern,4.0,2011,https://www.goodreads.com/book/show/9361589-the-night-circus
fantasy,the way of kings the stormlight archive 1,Brandon Sanderson,4.66,2010,https://www.goodreads.com/book/show/7235533-the-way-of-kings
fantasy,city of bones the mortal instruments 1,Cassandra Clare,4.07,2007,https://www.goodreads.com/book/show/256683.City_of_Bones
fantasy,the eye of the world the wheel of time 1,Robert Jordan,4.19,1990,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
fantasy,american gods tenth anniversary american gods 1,Neil Gaiman,4.1,2001,https://www.goodreads.com/book/show/30165203-american-gods
fantasy,twilight the twilight saga 1,Stephenie Meyer,3.67,2005,https://www.goodreads.com/book/show/41865.Twilight
fantasy,crooked kingdom six of crows 2,Leigh Bardugo,4.57,2016,https://www.goodreads.com/book/show/22299763-crooked-kingdom
fantasy,a darker shade of magic shades of magic 1,V.E. Schwab,4.04,2015,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
fantasy,heir of fire throne of glass 3,Sarah J. Maas,4.45,2014,https://www.goodreads.com/book/show/76706470-heir-of-fire
fantasy,a court of frost and starlight a court of thorns and roses 35,Sarah J. Maas,3.72,2019,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight
fantasy,iron flame the empyrean 2,Rebecca Yarros,4.36,2023,https://www.goodreads.com/book/show/90202302-iron-flame
fantasy,a court of silver flames a court of thorns and roses 4,Sarah J. Maas,4.45,2021,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
fantasy,the well of ascension mistborn 2,Brandon Sanderson,4.38,2007,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
fantasy,assassins apprentice farseer trilogy 1,Robin Hobb,4.19,1995,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
fantasy,good omens the nice and accurate prophecies of agnes nutter witch,Terry Pratchett,4.25,1990,https://www.goodreads.com/book/show/12067.Good_Omens
fantasy,the sea of monsters percy jackson and the olympians 2,Rick Riordan,4.24,2006,https://www.goodreads.com/book/show/40727118-the-sea-of-monsters
fantasy,the wicked king the folk of the air 2,Holly Black,4.27,2019,https://www.goodreads.com/book/show/26032887-the-wicked-king
fantasy,the poppy war the poppy war 1,R.F. Kuang,4.17,2018,https://www.goodreads.com/book/show/35068705-the-poppy-war
fantasy,the invisible life of addie larue,V.E. Schwab,4.17,2020,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
romance,the love hypothesis,Ali Hazelwood,4.1,2021,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
romance,beach read,Emily Henry,3.97,2020,https://www.goodreads.com/book/show/52867387-beach-read
romance,book lovers,Emily Henry,4.1,2022,https://www.goodreads.com/book/show/58690308-book-lovers
romance,pride and prejudice,Jane Austen,4.29,1813,https://www.goodreads.com/book/show/129915654-pride-and-prejudice
romance,it ends with us it ends with us 1,Colleen Hoover,4.09,2016,https://www.goodreads.com/book/show/62627512-it-ends-with-us
romance,red white royal blue,Casey McQuiston,4.05,2019,https://www.goodreads.com/book/show/41150487-red-white-royal-blue
romance,people we meet on vacation,Emily Henry,3.84,2021,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
romance,the fault in our stars,John Green,4.12,2012,https://www.goodreads.com/book/show/25856606-the-fault-in-our-stars
romance,the hating game,Sally  Thorne,3.86,2016,https://www.goodreads.com/book/show/27213238-the-hating-game
romance,the unhoneymooners unhoneymooners 1,Christina Lauren,3.9,2019,https://www.goodreads.com/book/show/42201431-the-unhoneymooners
romance,happy place,Emily Henry,3.95,2023,https://www.goodreads.com/book/show/61718053-happy-place
romance,the kiss quotient the kiss quotient 1,Helen  Hoang,3.87,2018,https://www.goodreads.com/book/show/36199084-the-kiss-quotient
romance,the seven husbands of evelyn hugo,Taylor Jenkins Reid,4.4,2017,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
romance,funny story,Emily Henry,4.19,2024,https://www.goodreads.com/book/show/194802722-funny-story
romance,twisted love twisted 1,Ana Huang,3.71,2021,https://www.goodreads.com/book/show/62057697-twisted-love
romance,ugly love,Colleen Hoover,4.0,2014,https://www.goodreads.com/book/show/17788401-ugly-love
romance,the spanish love deception love deception 1,Elena  Armas,3.8,2021,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception
