Shelf,Title,Author,Rating,Publication Year,Link
children,Charlotte’s Web,E.B. White,4.21,1952,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
children,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,1997,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone
children,The Little Prince,Antoine de Saint-Exupéry,4.33,1943,https://www.goodreads.com/book/show/157993.The_Little_Prince
children,The Giving Tree,Shel Silverstein,4.38,1964,https://www.goodreads.com/book/show/370493.The_Giving_Tree
children,Where the Wild Things Are,Maurice Sendak,4.25,1963,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
children,Matilda,Roald Dahl,4.33,1988,https://www.goodreads.com/book/show/39988.Matilda
children,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.17,1964,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
children,Green Eggs and Ham,Dr. Seuss,4.31,1960,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
children,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,1950,https://www.goodreads.com/book/show/132080146-the-lion-the-witch-and-the-wardrobe
children,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,1998,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
children,The Secret Garden,Frances Hodgson Burnett,4.17,1911,https://www.goodreads.com/book/show/2998.The_Secret_Garden
children,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,1999,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
children,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,1957,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
children,Where the Sidewalk Ends,Shel Silverstein,4.35,1974,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
children,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,2000,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
children,The Very Hungry Caterpillar,Eric Carle,4.34,1969,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
children,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,1926,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
children,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2003,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
children,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,2005,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
children,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,2007,https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows
children,James and the Giant Peach,Roald Dahl,4.04,1961,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
children,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1962,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
children,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,1900,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
children,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,1990,https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_
children,Goodnight Moon,Margaret Wise Brown,4.32,1947,https://www.goodreads.com/book/show/32929.Goodnight_Moon
children,How the Grinch Stole Christmas!,Dr. Seuss,4.38,1957,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_
children,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1908,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
children,The BFG,Roald Dahl,4.23,1982,https://www.goodreads.com/book/show/6319.The_BFG
children,The Witches,Roald Dahl,4.18,1983,https://www.goodreads.com/book/show/6327.The_Witches
children,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,1871,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
children,The Velveteen Rabbit,Margery Williams Bianco,4.31,1922,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
children,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02,1999,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
children,Peter Pan,J.M. Barrie,4.03,1911,https://www.goodreads.com/book/show/34268.Peter_Pan
children,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,1955,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
children,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,1945,https://www.goodreads.com/book/show/19302.Pippi_Longstocking
children,The Lorax,Dr. Seuss,4.35,1971,https://www.goodreads.com/book/show/7784.The_Lorax
children,Coraline,Neil Gaiman,4.13,2002,https://www.goodreads.com/book/show/17061.Coraline
children,The Wind in the Willows,Kenneth Grahame,4.02,1908,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
children,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,4.23,1902,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit
children,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,1951,https://www.goodreads.com/book/show/121749.Prince_Caspian
children,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,4.18,1960,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish
children,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,2005,https://www.goodreads.com/book/show/123675190-the-lightning-thief
children,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,1954,https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
children,Bridge to Terabithia,Katherine Paterson,4.06,1977,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
children,A Little Princess,Frances Hodgson Burnett,4.23,1905,https://www.goodreads.com/book/show/3008.A_Little_Princess
children,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,1952,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
children,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21,1932,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
children,If You Give a Mouse a Cookie (If You Give...),Laura Joffe Numeroff,4.29,1985,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie
children,The Phantom Tollbooth,Norton Juster,4.2,1961,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
children,A Light in the Attic,Shel Silverstein,4.36,1981,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
fantasy,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,1937,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
fantasy,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1996,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
fantasy,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.4,1954,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
fantasy,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16,2015,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
fantasy,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,2023,https://www.goodreads.com/book/show/61431922-fourth-wing
fantasy,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,2012,https://www.goodreads.com/book/show/76703559-throne-of-glass
fantasy,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49,2006,https://www.goodreads.com/book/show/68428.Mistborn
fantasy,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,2015,https://www.goodreads.com/book/show/23437156-six-of-crows
fantasy,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,2016,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
fantasy,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.5,1954,https://www.goodreads.com/book/show/61215372-the-two-towers
fantasy,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,2007,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
fantasy,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1998,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
fantasy,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.58,1955,https://www.goodreads.com/book/show/61215384-the-return-of-the-king
fantasy,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,2018,https://www.goodreads.com/book/show/26032825-the-cruel-prince
fantasy,"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.92,2012,https://www.goodreads.com/book/show/37834723-shadow-and-bone
fantasy,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,2017,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin
fantasy,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,2000,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
fantasy,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,2005,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
fantasy,Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,2002,https://www.goodreads.com/book/show/113436.Eragon
fantasy,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1995,https://www.goodreads.com/book/show/119322.The_Golden_Compass
fantasy,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.34,2011,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
fantasy,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,2013,https://www.goodreads.com/book/show/76705490-crown-of-midnight
fantasy,The Night Circus,Erin Morgenstern,4.0,2011,https://www.goodreads.com/book/show/9361589-the-night-circus
fantasy,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,2010,https://www.goodreads.com/book/show/7235533-the-way-of-kings
fantasy,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2007,https://www.goodreads.com/book/show/256683.City_of_Bones
fantasy,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,1990,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
fantasy,"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.1,2001,https://www.goodreads.com/book/show/30165203-american-gods
fantasy,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,2005,https://www.goodreads.com/book/show/41865.Twilight
fantasy,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,2016,https://www.goodreads.com/book/show/22299763-crooked-kingdom
fantasy,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.04,2015,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
fantasy,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,2014,https://www.goodreads.com/book/show/76706470-heir-of-fire
fantasy,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,3.72,2019,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight
fantasy,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.36,2023,https://www.goodreads.com/book/show/90202302-iron-flame
fantasy,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45,2021,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
fantasy,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,2007,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
fantasy,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.19,1995,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
fantasy,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,1990,https://www.goodreads.com/book/show/12067.Good_Omens
fantasy,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,2006,https://www.goodreads.com/book/show/40727118-the-sea-of-monsters
fantasy,"The Wicked King (The Folk of the Air, #2)",Holly Black,4.27,2019,https://www.goodreads.com/book/show/26032887-the-wicked-king
fantasy,"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.17,2018,https://www.goodreads.com/book/show/35068705-the-poppy-war
fantasy,The Invisible Life of Addie LaRue,V.E. Schwab,4.17,2020,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
romance,The Love Hypothesis,Ali Hazelwood,4.1,2021,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
romance,Beach Read,Emily Henry,3.97,2020,https://www.goodreads.com/book/show/52867387-beach-read
romance,Book Lovers,Emily Henry,4.1,2022,https://www.goodreads.com/book/show/58690308-book-lovers
romance,Pride and Prejudice,Jane Austen,4.29,1813,https://www.goodreads.com/book/show/129915654-pride-and-prejudice
romance,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.09,2016,https://www.goodreads.com/book/show/62627512-it-ends-with-us
